Change_Date_Month;3;;;;;;;;;;;;;;;;;;;;;;;;
Postponed_Week;(All);;;;;;;;;;;;;;;;;;;;;;Sold_to_ID;(All);
;;;;;;;;;;;;;;;;;;;;;;;Customer_Name;(All);
Rim size;Number_of changes;;;;;;;;;;;;;;;;;;;;;;Change_Date_Month;3;
12;223;;;;;;;;;;;;;;;;;;;;;;;;
13;5366;;;;;;;;;;;;;;;;;;;;;;Number_of changes;;
14;25250;;;;;;;;;;;;;;;;;;;;;;Grouped confirmed quantity;Rim_Diameter_Inches;Total
15;70805;;;;;;;;;;;;;;;;;;;;;;1 to 10;12;40
16;169788;;;;;;;;;;;;;;;;;;;;;;;13;1001
17;274130;;;;;;;;;;;;;;;;;;;;;;;14;4680
18;265530;;;;;;;;;;;;;;;;;;;;;;;15;13722
19;175257;;;;;;;;;;;;;;;;;;;;;;;16;33087
20;71730;;;;;;;;;;;;;;;;;;;;;;;17;48852
21;35937;;;;;;;;;;;;;;;;;;;;;;;18;47816
22;13001;;;;;;;;;;;;;;;;;;;;;;;19;30825
23;1141;;;;;;;;;;;;;;;;;;;;;;;20;12846
Grand Total;1108158;;;;;;;;;;;;;;;;;;;;;;;21;6281
;;;;;;;;;;;;;;;;;;;;;;;;22;2383
;;;;;;;;;;;;;;;;;;;;;;;;23;139
;;;;;;;;;;;;;;;;;;;;;;;101 to 200;12;3
;;;;;;;;;;;;;;;;;;;;;;;;13;7
;;;;;;;;;;;;;;;;;;;;;;;;14;654
;;;;;;;;;;;;;;;;;;;;;;;;15;1953
;;;;;;;;;;;;;;;;;;;;;;;;16;3464
;;;;;;;;;;;;;;;;;;;;;;;;17;5450
Change_Date_Month;3;;;;;;;;;;;;;;;;;;;;;;;18;4118
Postponed_Week;(All);;;;;;;;;;;;;;;;;;;;;;;19;2345
;;;;;;;;;;;;;;;;;;;;;;;;20;1024
Rim size;Count of Order_Line_Number;_Count of Changes;_Changes on Earlier Date;_Changes on Later Date;;;;;;;;;;;;;;;;;;;;21;358
12;173;223;102;121;;;;;;;;;;;;;;;;;;;;22;154
13;3178;5366;1457;3909;;;;;;;;;;;;;;;;;;;;23;5
14;17274;25250;9292;15958;;;;;;;;;;;;;;;;;;;11 to 50;12;43
15;46408;70805;24194;46611;;;;;;;;;;;;;;;;;;;;13;1070
16;113100;169788;57241;112547;;;;;;;;;;;;;;;;;;;;14;6544
17;179272;274130;91313;182817;;;;;;;;;;;;;;;;;;;;15;17351
18;170675;265530;83909;181621;;;;;;;;;;;;;;;;;;;;16;38634
19;113293;175257;55734;119523;;;;;;;;;;;;;;;;;;;;17;63687
20;44121;71730;19657;52073;;;;;;;;;;;;;;;;;;;;18;58470
21;21467;35937;9186;26751;;;;;;;;;;;;;;;;;;;;19;38317
22;7264;13001;3182;9819;;;;;;;;;;;;;;;;;;;;20;13124
23;719;1141;376;765;;;;;;;;;;;;;;;;;;;;21;5359
Grand Total;716944;1108158;355643;752515;;;;;;;;;;;;;;;;;;;;22;2048
;;;;;;;;;;;;;;;;;;;;;;;;23;192
;;;;;;;;;;;;;;;;;;;;;;;201+;12;10
;;2;;;;;;;;;;;;;;;;;;;;;;13;45
;;;;;;;;;;;;;;;;;;;;;;;;14;712
;;;;;;;;;;;;;;;;;;;;;;;;15;2526
;;;;;;;;;;;;;;;;;;;;;;;;16;4951
;;;;;;;;;;;;;;;;;;;;;;;;17;5093
;;;;;;;;;;;;;;;;;;;;;;;;18;3642
;;;;;;;;;;;;;;;;;;;;;;;;19;1522
;;;;;;;;;;;;;;;;;;;;;;;;20;788
;;;;;;;;;;;;;;;;;;;;;;;;21;280
;;;;;;;;;;;;;;;;;;;;;;;;22;35
;;;;;;;;;;;;;;;;;;;;;;;;23;2
;;;;;;;;;;;;;;;;;;;;;;;51 to 1000;12;4
;;;;;;;;;;;;;;;;;;;;;;;;13;92
;;;;;;;;;;;;;;;;;;;;;;;;14;1173
;;;;;;;;;;;;;;;;;;;;;;;;15;3410
;;;;;;;;;;;;;;;;;;;;;;;;16;6871
;;;;;;;;;;;;;;;;;;;;;;;;17;12277
;;;;;;;;;;;;;;;;;;;;;;;;18;9761
;;;;;;;;;;;;;;;;;;;;;;;;19;6184
;;;;;;;;;;;;;;;;;;;;;;;;20;2111
;;;;;;;;;;;;;;;;;;;;;;;;21;577
;;;;;;;;;;;;;;;;;;;;;;;;22;194
;;;;;;;;;;;;;;;;;;;;;;;;23;51
;;;;;;;;;;;;;;;;;;;;;;;Less than 5;12;123
;;;;;;;;;;;;;;;;;;;;;;;;13;3151
;;;;;;;;;;;;;;;;;;;;;;;;14;11487
;;;;;;;;;;;;;;;;;;;;;;;;15;31843
;;;;;;;;;;;;;;;;;;;;;;;;16;82781
;;;;;;;;;;;;;;;;;;;;;;;;17;138771
;;;;;;;;;;;;;;;;;;;;;;;;18;141723
;;;;;;;;;;;;;;;;;;;;;;;;19;96064
;;;;;;;;;;;;;;;;;;;;;;;;20;41837
;;;;;;;;;;;;;;;;;;;;;;;;21;23082
;;;;;;;;;;;;;;;;;;;;;;;;22;8187
;;;;;;;;;;;;;;;;;;;;;;;;23;752
;;;;;;;;;;;;;;;;;;;;;;;Grand Total;;1108158
